qid,policy,representation,packer,em,f1,ans_in_context,gold_token_density,gold_doc_reader_cov,context_tokens,base_recall@5,base_all_gold@5
1691ef940bdb11eba7f7acde48001122,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.1007,0.5,149.0,0.5,0.0
c37f944e08e611ebbda5ac1f6bf848b6,chunk_packed_160,chunk,packed,1.0,1.0,1.0,0.4557,1.0,158.0,1.0,1.0
e2c19fd80bae11ebab90acde48001122,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.2905,0.5,148.0,0.5,0.0
17d8beda089f11ebbd78ac1f6bf848b6,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.6738,0.5,141.0,0.5,0.0
ea3ca41f09b811ebbdb0ac1f6bf848b6,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.2914,0.5,151.0,1.0,1.0
3f0eaa5e089611ebbd76ac1f6bf848b6,chunk_packed_160,chunk,packed,0.0,0.0,1.0,0.3399,0.5,153.0,0.5,0.0
26c8ec120bb011ebab90acde48001122,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.0,0.0,124.0,1.0,1.0
12b4665008f811ebbdaaac1f6bf848b6,chunk_packed_160,chunk,packed,1.0,1.0,0.0,0.4357,1.0,140.0,1.0,1.0
812e7fdc0bb011ebab90acde48001122,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.4277,0.5,159.0,0.5,0.0
0eb54158087b11ebbd67ac1f6bf848b6,chunk_packed_160,chunk,packed,1.0,1.0,1.0,0.6797,0.5,153.0,0.5,0.0
d51346140bdd11eba7f7acde48001122,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.2961,0.5,152.0,1.0,1.0
0941e98b08b511ebbd88ac1f6bf848b6,chunk_packed_160,chunk,packed,0.0,0.0,1.0,0.5223,1.0,157.0,1.0,1.0
a022d8580bdc11eba7f7acde48001122,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.4354,0.5,147.0,0.5,0.0
6fe30f58097211ebbdb0ac1f6bf848b6,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.4114,1.0,158.0,1.0,1.0
c216e6ec085e11ebbd5cac1f6bf848b6,chunk_packed_160,chunk,packed,1.0,1.0,1.0,0.6474,0.5,156.0,0.5,0.0
56fd5a440bdd11eba7f7acde48001122,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.0,0.0,140.0,0.5,0.0
1dba599508b811ebbd88ac1f6bf848b6,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.4395,1.0,157.0,1.0,1.0
66119246086f11ebbd62ac1f6bf848b6,chunk_packed_160,chunk,packed,1.0,1.0,1.0,0.2283,0.5,127.0,1.0,1.0
286461f808ba11ebbd88ac1f6bf848b6,chunk_packed_160,chunk,packed,1.0,1.0,1.0,0.4645,1.0,155.0,1.0,1.0
ae714dea0bdc11eba7f7acde48001122,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.2039,0.5,152.0,0.5,0.0
2bcb45560bde11eba7f7acde48001122,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.3506,0.5,154.0,0.5,0.0
c5315db80baf11ebab90acde48001122,chunk_packed_160,chunk,packed,0.0,0.2222,0.0,0.2812,0.5,160.0,1.0,1.0
df66ea220bdc11eba7f7acde48001122,chunk_packed_160,chunk,packed,1.0,1.0,1.0,0.4936,1.0,156.0,1.0,1.0
c704e1d3096b11ebbdafac1f6bf848b6,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.5,0.5,152.0,1.0,1.0
67c784f708d811ebbd9bac1f6bf848b6,chunk_packed_160,chunk,packed,1.0,1.0,1.0,0.4897,0.5,145.0,0.5,0.0
8b16280408ce11ebbd94ac1f6bf848b6,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.3819,1.0,144.0,1.0,1.0
1c1acbe708d111ebbd95ac1f6bf848b6,chunk_packed_160,chunk,packed,1.0,1.0,1.0,0.5338,0.5,148.0,0.5,0.0
8f8266f009b411ebbdb0ac1f6bf848b6,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.3063,1.0,160.0,1.0,1.0
0a65372708cf11ebbd94ac1f6bf848b6,chunk_packed_160,chunk,packed,0.0,0.0,1.0,0.617,0.5,141.0,0.5,0.0
8bf181940bdd11eba7f7acde48001122,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.1867,0.5,150.0,1.0,1.0
4ceceee40bdc11eba7f7acde48001122,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.3133,0.5,150.0,0.5,0.0
6aada36a0baf11ebab90acde48001122,chunk_packed_160,chunk,packed,0.0,0.8333,1.0,0.2448,0.5,143.0,1.0,1.0
62c67f960bdc11eba7f7acde48001122,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.1748,0.5,143.0,0.5,0.0
69e0e0a008e611ebbda5ac1f6bf848b6,chunk_packed_160,chunk,packed,0.0,0.0,1.0,0.4969,1.0,159.0,1.0,1.0
ee9b60a6086511ebbd5eac1f6bf848b6,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.3986,0.25,143.0,0.5,0.0
f7ff7626098911ebbdb0ac1f6bf848b6,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.6405,1.0,153.0,1.0,1.0
4a3e57f708c511ebbd8eac1f6bf848b6,chunk_packed_160,chunk,packed,0.0,0.0,1.0,0.3724,1.0,145.0,1.0,1.0
1f447f24096411ebbdafac1f6bf848b6,chunk_packed_160,chunk,packed,1.0,1.0,1.0,0.6815,1.0,135.0,1.0,1.0
b61741320bda11eba7f7acde48001122,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.2781,0.5,151.0,0.5,0.0
839920c60bdb11eba7f7acde48001122,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.0863,0.5,139.0,0.5,0.0
1e0c8ff5085c11ebbd5cac1f6bf848b6,chunk_packed_160,chunk,packed,1.0,1.0,1.0,0.4713,0.5,157.0,0.5,0.0
a2e665000bdc11eba7f7acde48001122,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.5125,0.5,160.0,0.5,0.0
3a61885c0bdc11eba7f7acde48001122,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.0,0.0,140.0,1.0,1.0
3e15be5a0baf11ebab90acde48001122,chunk_packed_160,chunk,packed,0.0,0.2,0.0,0.2885,0.5,156.0,0.5,0.0
7f5ab8160bdc11eba7f7acde48001122,chunk_packed_160,chunk,packed,0.0,0.4444,0.0,0.1875,0.5,160.0,0.5,0.0
29a722d2086811ebbd5eac1f6bf848b6,chunk_packed_160,chunk,packed,1.0,1.0,1.0,0.4873,1.0,158.0,1.0,1.0
772c5c660bb011ebab90acde48001122,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.075,0.5,160.0,0.5,0.0
45709660095311ebbdaeac1f6bf848b6,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.4968,0.5,157.0,1.0,1.0
92ebfb8c0bdd11eba7f7acde48001122,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.2143,0.5,140.0,1.0,1.0
4b827b1e093611ebbdaeac1f6bf848b6,chunk_packed_160,chunk,packed,1.0,1.0,1.0,0.3987,1.0,153.0,1.0,1.0
0fd8f56e08be11ebbd8aac1f6bf848b6,chunk_packed_160,chunk,packed,1.0,1.0,1.0,0.5986,1.0,142.0,1.0,1.0
c494b5c00bdd11eba7f7acde48001122,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.2611,0.5,157.0,0.5,0.0
909aa544086411ebbd5eac1f6bf848b6,chunk_packed_160,chunk,packed,1.0,1.0,0.0,0.2308,0.5,156.0,0.5,0.0
e596b9500bdb11eba7f7acde48001122,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.2564,0.5,156.0,0.5,0.0
5ab73ef109b411ebbdb0ac1f6bf848b6,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.4114,0.5,158.0,1.0,1.0
5271f2780bdd11eba7f7acde48001122,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.4025,0.5,159.0,1.0,1.0
922a629c0bb011ebab90acde48001122,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.0,0.0,148.0,0.5,0.0
db6a0c8c0bdd11eba7f7acde48001122,chunk_packed_160,chunk,packed,0.0,0.3333,0.0,0.5535,1.0,159.0,1.0,1.0
179f51c60bde11eba7f7acde48001122,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.0,0.0,133.0,0.5,0.0
077a2ace0bdd11eba7f7acde48001122,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.1875,0.5,144.0,0.5,0.0
6ec70dc60bda11eba7f7acde48001122,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.457,0.5,151.0,1.0,1.0
4ebd4dc608c711ebbd91ac1f6bf848b6,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.4412,0.5,136.0,0.75,0.0
f625c1ba0bdd11eba7f7acde48001122,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.0,0.0,144.0,0.5,0.0
c4ec341c0bdd11eba7f7acde48001122,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.2848,0.5,158.0,1.0,1.0
6ea43168084c11ebbd56ac1f6bf848b6,chunk_packed_160,chunk,packed,0.0,0.0,1.0,0.3145,0.5,159.0,0.5,0.0
e036fe320bdd11eba7f7acde48001122,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.1974,0.5,152.0,1.0,1.0
6833fbd8087711ebbd67ac1f6bf848b6,chunk_packed_160,chunk,packed,1.0,1.0,1.0,0.4286,0.5,154.0,0.5,0.0
c2872f9408ca11ebbd92ac1f6bf848b6,chunk_packed_160,chunk,packed,0.0,0.0,1.0,0.4221,0.5,154.0,0.5,0.0
164404960bdb11eba7f7acde48001122,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.3654,0.5,156.0,1.0,1.0
9cc254b40bdb11eba7f7acde48001122,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.2434,0.5,152.0,0.5,0.0
674b49540bda11eba7f7acde48001122,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.2324,0.5,142.0,0.5,0.0
aba20b320bdb11eba7f7acde48001122,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.1757,0.5,148.0,0.5,0.0
614eef2a0bde11eba7f7acde48001122,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.1698,0.5,159.0,0.5,0.0
8bb0faca0bdd11eba7f7acde48001122,chunk_packed_160,chunk,packed,0.0,0.0,1.0,0.349,0.5,149.0,1.0,1.0
31d4d9de091e11ebbdaeac1f6bf848b6,chunk_packed_160,chunk,packed,1.0,1.0,1.0,0.6815,1.0,135.0,1.0,1.0
890b121c08b111ebbd85ac1f6bf848b6,chunk_packed_160,chunk,packed,1.0,1.0,1.0,0.6763,0.5,139.0,0.5,0.0
bb275b6808a011ebbd78ac1f6bf848b6,chunk_packed_160,chunk,packed,1.0,1.0,1.0,0.4516,0.5,155.0,0.5,0.0
b61ebcc1086d11ebbd62ac1f6bf848b6,chunk_packed_160,chunk,packed,1.0,1.0,1.0,0.2258,0.25,155.0,0.5,0.0
2de101c808d711ebbd99ac1f6bf848b6,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.8636,0.75,154.0,0.75,0.0
d03155340bdb11eba7f7acde48001122,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.3586,0.5,145.0,0.5,0.0
015d47a908a811ebbd7fac1f6bf848b6,chunk_packed_160,chunk,packed,1.0,1.0,1.0,0.1258,0.25,159.0,0.5,0.0
b5bb630a0bdd11eba7f7acde48001122,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.274,0.5,146.0,1.0,1.0
4b7eed900bdd11eba7f7acde48001122,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.2213,0.5,122.0,0.5,0.0
3ab073500bdb11eba7f7acde48001122,chunk_packed_160,chunk,packed,1.0,1.0,1.0,0.3057,1.0,157.0,1.0,1.0
b60fd6a20bdc11eba7f7acde48001122,chunk_packed_160,chunk,packed,0.0,0.2857,0.0,0.4,0.5,160.0,1.0,1.0
62fdcff808c011ebbd8aac1f6bf848b6,chunk_packed_160,chunk,packed,0.0,0.0,1.0,0.2911,0.5,158.0,0.5,0.0
2782092e088411ebbd6dac1f6bf848b6,chunk_packed_160,chunk,packed,0.0,0.0,1.0,0.4437,1.0,151.0,1.0,1.0
773088680bb011ebab90acde48001122,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.3759,0.5,141.0,0.5,0.0
838b8c7b086811ebbd5eac1f6bf848b6,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.6579,1.0,152.0,1.0,1.0
06c6e94a0bde11eba7f7acde48001122,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.5,1.0,146.0,1.0,1.0
88cc034008c211ebbd8cac1f6bf848b6,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.9257,0.75,148.0,0.75,0.0
acd46967085a11ebbd5cac1f6bf848b6,chunk_packed_160,chunk,packed,0.0,0.0,1.0,0.4221,0.5,154.0,0.5,0.0
0e15d68608d511ebbd98ac1f6bf848b6,chunk_packed_160,chunk,packed,0.0,0.75,0.0,0.3133,0.5,150.0,1.0,1.0
067fab3b094411ebbdaeac1f6bf848b6,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.5316,1.0,158.0,1.0,1.0
61964be60bb011ebab90acde48001122,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.0,0.0,154.0,1.0,1.0
d14fc06e0bda11eba7f7acde48001122,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.0,0.0,159.0,0.5,0.0
7b3bcff60bda11eba7f7acde48001122,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.1603,0.5,156.0,0.5,0.0
